ActivityCode,Competition,,,,,,,,
NULL,Unknown,,,,,,,,
910,IDP 1 Ultra-efficient sys for elec/hybr veh Jan-09,,,,,,,,
911,Eranet MATERA + Phase 1 Apr-09,,,,,,,,
914,SAMULET Nov-08,,,,,,,,
915,SIF/SBRI: Retrofit for the Future Mar-09,,,,,,,,
918,Aretmis Phase 2 - May 09,,,,,,,,
919,IDP2 Jun-09,,,,,,,,
920,SIF: LCV Focus Area 1 (GMDProof of Concept) Jun-09,,,,,,,,
921,Information Infrastructure Protection FT Mar-09,,,,,,,,
922,DECC: Fuel Cells & Hydrogen Demo Sep-09,,,,,,,,
924,Eureka Eurostars Phase 2 - Sept 09,,,,,,,,
926,Digital Testbed : Network Services Demonstrators Sept-09,,,,,,,,
932,Mainstream Creative Industries Jun-08,,,,,,,,
934,Value Systems & Business Models (Regen Med) Nov-09,,,,,,,,
935,Therapeutics Feasibility Study (Regen Med) Sep-09,,,,,,,,
936,SILOET Jun-09,,,,,,,,
938,Hi-Val Chemicals thru Industrial Biotech Sep-09,,,,,,,,
939,Application of Innovative Materials (AIMC4) Sep-09,,,,,,,,
941,Carbon Abatement Technology Mainstream Jun-09,,,,,,,,
942,Carbon Abatement Technology Large Projects Jun-09,,,,,,,,
943,Plastics Electronics Demonstrators Dec-09,,,,,,,,
944,Informed Logistics Nov-09,,,,,,,,
945,User-Centred Design for Enrg Effcnt Build Oct-09,,,,,,,,
946,Protocol Airbus Oct-09,,,,,,,,
958,Ambient Assisted Living Phase 2 - May 09,,,,,,,,
959,Stem cells for safer medicine Oct-09,,,,,,,,
960,Eureka ENIAC Phase 1- May 09,,,,,,,,
1001,ASTRAEA II Jan-10,,,,,,,,
1003,SIF SBRI: Retrofit for the Future Phase 2 Jan-10,,,,,,,,
1004,SBRI: Ultra-Efficient Lighting Apr-10,,,,,,,,
1005,Fighting Infection through Detection FS Jan-10,,,,,,,,
1006,Fighting Infection through Detection FT Jan - 10,,,,,,,,
1007,Fighting Infection through Detection Jan -10,,,,,,,,
1008,New Approaches to Crop Protection Jan -10,,,,,,,,
1009,IDP4 Ultra LCV Tech & Supply Network Development Feb-10,,,,,,009,,9
1011,Affordable CompManuf Grand Challenge Prize Mar-10,,,,,,011,,11
1012,Ambient Assisted Living Phase 3 - Nov 10,,,,,,012,,12
1013,"Smart Grids, Smart Meters May-10",,,,,,013,,13
1014,Building Performance Evaluation (Dom Ph1) May-10,,,,,,014,,14
1015,Design for Future Climate : Adapting Buildings (FT) June - 10,,,,,,015,,15
1016,Wave and tidal stream energy technologies Mar-10,,,,,,016,,16
1018,SBRI: Energy Efficient Whitehall Jan-10,,,,,,018,,18
1019,Tools & Technologies Feasibility (RegenMed) Mar-10,,,,,,019,,19
1020,Developing Therapeutics Fast Track (RegMed) Mar-10,,,,,,020,,20
1023,SBRI - Home Office Screening for Drug Drivers,,,,,,023,,23
1024,Trusted Services - Main - May-10,,,,,,024,,24
1025,Trusted Services Fast Track 1 May-10,,,,,,025,,25
1026,Eranet PIANO+ Phase1 - Apr 10,,,,,,026,,26
1027,Building the technology supply chain Jan-10,,,,,,027,,27
1028,Eureka Eurostars Phase 3 - Feb 10,,,,,,028,,28
1029,Eureka Eurostars Phase 4 - Sept 10,,,,,,029,,29
1030,Trusted Services FT 2 Jul-10,,,,,,030,,30
1031,Collaboration Across Digital Industries FT Jul-10,,,,,,031,,31
1032,Nuclear R&D FS Jun-10,,,,,,032,,32
1033,IDP4 Ultra LCV Tech & Supply Network Feb-10,,,,,,033,,33
1034,SBRI -Energy Efficient Whitehall Buildings,,,,,,034,,34
1035,Industrial Biotechnology Special Interest Group,,,,,,035,,35
1036,"Economic & Business, Social & Behav Studies Jun-10",,,,,,036,,36
1037,Tech Demo Sat Ph1 Jun-10,,,,,,037,,37
1040,Collaboration across digital industries Mar-11,,,,,,040,,40
1041,Trusted Services FT3 Aug-10,,,,,,041,,41
1042,Disruptive Solutions - Digital Sep - 10,,,,,,042,,42
1043,Wave & tidal stream stream energy technologies deployment - Sept - 10,,,,,,043,,43
1044,Disruptive Solutions - Energy Sep-10,,,,,,044,,44
1045,SBRI: Ultra-Efficient Lighting   Phase  2Apr-10,,,,,,045,,45
1046,Disruptive Solutions-Healthcare Sep-10,,,,,,046,,46
1048,Disruptive Solutions - Sustainability Sep-10,,,,,,048,,48
1050,SBRI - Dementia (SE Coast),,,,,,050,,50
1051,SBRI - Stroke (SE Coast SHA),,,,,,051,,51
1055,Building Performance Evaluation (ND Ph1) May-10,,,,,,055,,55
1056,Building Performance Evaluation (ND Ph2) Aug-10,,,,,,056,,56
1057,Building Performance Evaluation (Dom Ph2) Aug-10,,,,,,057,,57
1058,Metadata : increasing the value of digital content Sept-10,,,,,,058,,58
1060,Metadata: increasing the value of digital content (Main) Sep-10,,,,,,060,,60
1061,Metadata: increasing the value of digital content -FT 2&3 Nov-10,,,,,,061,,61
1063,Tech Inspired- Information and Communication Tech Oct - 10,,,,,,063,,63
1064,Nano- enabled solar energy harvesting: building the supply chain Sep-10,,,,,,064,,64
