ActivityCode,Competition,,,,,,,,
NULL,Unknown,,,,,,,,
12111,ISIC- Facility for Climate and Enviro. Monitoring from Space,,,,,,211,5,211
12112,Innovation Vouchers Rnd 2 Dec -12,,,,,,211,5,211
12113,iStream Development 1 (iD1),,,,,,211,5,211
12116,Narec Offshore Test,,,,,,211,5,211
12119,Technology Inspired Innovation - ADM  (FT) Dec-12,,,,,,211,5,211
12120,Technology Inspired Innovation - BIO (FT) Dec-12,,,,,,212,5,212
12121,Technology Inspired Innovation - EPES  (FT) Dec-12,,,,,,212,5,212
12122,Technology Inspired Innovation - ICT (FT) Dec-12,,,,,,212,5,212
12123,Technology Inspired Innovation - ADM  (CR&D) Feb-13,,,,,,212,5,212
12124,Technology Inspired Innovation - BIO (CR&D) Feb-13,,,,,,212,5,212
12125,Technology Inspired Innovation - EPES  (CR&D) Feb-13,,,,,,212,5,212
12126,Technology Inspired Innovation - ICT (CR&D) Feb-13,,,,,,212,5,212
12127,Technology Inspired Innovation - ADM  (FS) Feb-13,,,,,,212,5,212
12128,Technology Inspired Innovation - EPES  (FS) Feb-13,,,,,,212,5,212
12129,Technology Inspired Innovation - BIO (FS) Feb-13,,,,,,212,5,212
12130,Technology Inspired Innovation - ICT (FS) Feb-13,,,,,,213,5,213
12131,Vessel efficiency: Piloting UK marine & maritime innovation (FT) Jan-13,,,,,,213,5,213
12132,Disruptive technologies in low carbon vechicles II Jan-13,,,,,,213,5,213
12133,New business models in high value manufacturing Mar-13,,,,,,213,5,213
12134,Materials & Manufacturing North West Launchpad Mar-13,,,,,,213,5,213
12135,Formulated products - meeting the product and process design challenge,,,,,,213,5,213
12137,Digital and Creative Clyde Launchpad Jan-13,,,,,,213,5,213
12140,Future Cities Demonstrator Jan-12,,,,,,214,5,214
12141,Future Cities Demonstrator Runners-up Jan-13,,,,,,214,5,214
12142,Biomedical Catayst (Rnd 3 FS) Oct-12,,,,,,214,5,214
12143,Biomedical Catayst - Early Stage Mar-13,,,,,,214,5,214
12145,Rapid diagnostics for endemic animal diseases Jan-13,,,,,,214,5,214
12146,Rapid diagnostics for human & bovine tuberculosis Jan-13,,,,,,214,5,214
12147,Eureka Eurostars Phase 8 Sept-12,,,,,,214,5,214
12150,National Biologics Industry Innovation Centre,,,,,,215,5,215
12151,Magenta,,,,,,215,5,215
12152,UK Energy Storage R&D centre Phase 1,,,,,,215,5,215
12153,Powerlectronics - enabling a resilient energy system (FS) Feb -13,,,,,,215,5,215
12154,Developing novel concepts in autonomous service robotics Feb-13,,,,,,215,5,215
12155,Resource efficiency: New designs for a circular economy Feb-13,,,,,,215,5,215
12156,Proof of Market Rnd 6 Mar-13,,,,,,215,5,215
12157,Proof of Concept Rnd6 Mar-13,,,,,,215,5,215
12158,Development of Prototype Rd6 Mar-13,,,,,,215,5,215
12159,Harwell Space Launchpad Jan-13,,,,,,215,5,215
12161,Technology challenge in low carbon vechicles Feb-13,,,,,,216,5,216
12162,SILVER Mar-13,,,,,,216,5,216
12163,Scaling up retrofit of the nation's homes Mar-13,,,,,,216,5,216
12164,Supporting regenerative medicines and cell therapies Mar-13,,,,,,216,5,216
